task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p
single_shape,TwoLayerCNN,template_retention_1,template_init,refit_test_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TwoLayerCNN,template_retention_1,template_init,nuisance_acc,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TwoLayerCNN,template_retention_1,template_init,nuisance_prediction_stability,10,0.0,0.0,0.0,0.0,1.0
single_shape,TwoLayerCNN,template_retention_1,template_init,nuisance_probability_l2,10,0.0005227217546234896,0.00024038827229922247,0.0003507583439156353,0.000694685165331344,7.256175843935273e-05
single_shape,TwoLayerCNN,template_retention_1,template_init,drift_l2,10,-1.0195803128182888,0.02187108397430784,-1.0352259437807607,-1.0039346818558168,1.5458772674642344e-16
single_shape,TwoLayerCNN,template_retention_1,template_init,selected_kernel_alignment,10,0.1734511407175447,0.013293255915016015,0.16394171829566764,0.18296056313942174,1.4374446663505455e-11
single_shape,TwoLayerCNN,template_retention_1,template_init,best_semantic_kernel_alignment,10,0.17521418745080614,0.021142618501232367,0.1600896692952727,0.19033870560633956,8.280245358187329e-10
single_shape,TwoLayerCNN,template_retention_1,template_init,input_effect_mean_square,10,-0.11484538714090979,0.024120861176932323,-0.13210041176221438,-0.09759036251960522,1.0919286752418808e-07
single_shape,TwoLayerCNN,template_retention_1,template_init,counterfactual_agreement,10,0.04166666711680591,0.04265854994268285,0.011150578815859232,0.07218275541775258,0.012955604765432227
single_shape,TwoLayerCNN,template_retention_0.1,template_init,id_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TwoLayerCNN,template_retention_0.1,template_init,alignment,10,0.1252812321326519,0.007856420040095388,0.11966108780062448,0.13090137646467934,2.3803549411784117e-12
single_shape,TwoLayerCNN,template_retention_0.1,template_init,semantic_auc,10,-0.0047871907552083145,0.017196933461977267,-0.01708913586905572,0.007514754358639093,0.40159264233699
single_shape,TwoLayerCNN,template_retention_0.1,template_init,localization_iou,10,0.04286317735533428,0.025088616844677884,0.02491586203379856,0.06081049267687,0.0004315027848934106
single_shape,TwoLayerCNN,template_retention_0.1,template_init,fidelity_selected,10,0.06499801248659837,0.041903523597967306,0.03502203749554709,0.09497398747764965,0.0008416850867454757
single_shape,TwoLayerCNN,template_retention_0.1,template_init,fidelity_random,10,0.060984412656444276,0.006647502055139074,0.05622907615372886,0.0657397491591597,3.34910074462563e-10
single_shape,TwoLayerCNN,template_retention_0.1,template_init,causal_usefulness,10,0.004013599830154095,0.04269952880470378,-0.0265318029827388,0.03455900264304699,0.7730277348879361
single_shape,TwoLayerCNN,template_retention_0.1,template_init,cf_accuracy,10,0.00989583395421505,0.03927028047752644,-0.018196432385482568,0.03798810029391267,0.4460372539940102
single_shape,TwoLayerCNN,template_retention_0.1,template_init,cf_accuracy_random,10,0.00468750002910383,0.006660947749126532,-7.745494366132293e-05,0.009452455001868983,0.0530952649042757
single_shape,TwoLayerCNN,template_retention_0.1,template_init,refit_test_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TwoLayerCNN,template_retention_0.1,template_init,nuisance_acc,10,0.000390625,0.0012352647110032732,-0.0004930301417398823,0.0012742801417398824,0.34343639613791355
single_shape,TwoLayerCNN,template_retention_0.1,template_init,nuisance_prediction_stability,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TwoLayerCNN,template_retention_0.1,template_init,nuisance_probability_l2,10,0.00022824362176834256,0.00011986033868244316,0.0001425007007377555,0.00031398654279892965,0.00019717395737132483
single_shape,TwoLayerCNN,template_retention_0.1,template_init,drift_l2,10,-0.6584405928850174,0.027019624579422086,-0.6777692679251193,-0.6391119178449156,5.280130523369839e-14
single_shape,TwoLayerCNN,template_retention_0.1,template_init,selected_kernel_alignment,10,0.12617957861361706,0.012319907954747442,0.1173664473770478,0.13499270985018633,1.2538829676028346e-10
single_shape,TwoLayerCNN,template_retention_0.1,template_init,best_semantic_kernel_alignment,10,0.12695422934548173,0.018768332284043662,0.11352817323220718,0.14038028545875628,5.014936671114327e-09
single_shape,TwoLayerCNN,template_retention_0.1,template_init,input_effect_mean_square,10,-0.05002430280049643,0.011801100408186656,-0.05846630147575457,-0.04158230412523829,2.9832066679479724e-07
single_shape,TwoLayerCNN,template_retention_0.1,template_init,counterfactual_agreement,10,0.00989583395421505,0.03927028047752644,-0.018196432385482568,0.03798810029391267,0.4460372539940102
single_shape,TwoLayerCNN,template_init,random_unitnorm,id_acc,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TwoLayerCNN,template_init,random_unitnorm,alignment,10,0.5789215702625576,0.030054344286038728,0.5574219875225886,0.6004211530025266,4.366709081765169e-13
single_shape,TwoLayerCNN,template_init,random_unitnorm,semantic_auc,10,-0.0077514648437500226,0.01160947454489798,-0.01605638263433863,0.0005534529468385879,0.06392393761079448
single_shape,TwoLayerCNN,template_init,random_unitnorm,localization_iou,10,0.18574486600155823,0.06615316323208176,0.13842174383051462,0.23306798817260185,9.536109773245525e-06
