task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TwoLayerCNN,template_init,block08,0.925,0.90625,1.0,1.0,1.0,2.0,0.002182288095355034
single_shape,TwoLayerCNN,template_init,block09,0.907421875,0.99609375,1.0,1.0,1.0,5.0,0.0024470267817378044
single_shape,TwoLayerCNN,template_retention_0.1,block00,0.883984375,0.98828125,1.0,1.0,1.0,3.0,0.0029930947348475456
single_shape,TwoLayerCNN,template_retention_0.1,block01,0.806640625,0.8125,1.0,1.0,1.0,8.0,0.00463581457734108
single_shape,TwoLayerCNN,template_retention_0.1,block02,0.890234375,0.95703125,1.0,1.0,1.0,2.0,0.0036464817821979523
single_shape,TwoLayerCNN,template_retention_0.1,block03,0.85234375,0.91796875,1.0,1.0,1.0,6.0,0.0036807339638471603
single_shape,TwoLayerCNN,template_retention_0.1,block04,0.83828125,0.86328125,1.0,1.0,1.0,7.0,0.00438026525080204
single_shape,TwoLayerCNN,template_retention_0.1,block05,0.873046875,0.9453125,1.0,1.0,1.0,6.0,0.003920217975974083
single_shape,TwoLayerCNN,template_retention_0.1,block06,0.9296875,0.95703125,1.0,1.0,1.0,3.0,0.0035329144448041916
single_shape,TwoLayerCNN,template_retention_0.1,block07,0.879296875,0.98046875,0.984375,0.99609375,0.99609375,4.0,0.004360491409897804
single_shape,TwoLayerCNN,template_retention_0.1,block08,0.92421875,0.90625,1.0,1.0,1.0,2.0,0.003759615123271942
single_shape,TwoLayerCNN,template_retention_0.1,block09,0.90703125,0.99609375,1.0,1.0,1.0,5.0,0.003924025222659111
single_shape,TwoLayerCNN,template_retention_1,block00,0.87890625,0.9921875,1.0,1.0,1.0,3.0,0.011331070214509964
single_shape,TwoLayerCNN,template_retention_1,block01,0.80703125,0.81640625,1.0,1.0,1.0,8.0,0.018913812935352325
single_shape,TwoLayerCNN,template_retention_1,block02,0.89375,0.9765625,1.0,1.0,1.0,2.0,0.01397489383816719
single_shape,TwoLayerCNN,template_retention_1,block03,0.85234375,0.91015625,1.0,1.0,1.0,6.0,0.012904834002256393
single_shape,TwoLayerCNN,template_retention_1,block04,0.8359375,0.8515625,1.0,1.0,1.0,7.0,0.01627354696393013
