architecture,method,k,metric,block,delta
TwoLayerCNN,contrast,1,fidelity,4007,-0.027798267540142363
TwoLayerCNN,contrast,1,fidelity,4008,-0.0031236720932490414
TwoLayerCNN,contrast,1,fidelity,4009,-0.010225093570443877
TwoLayerCNN,contrast,1,fidelity,4010,-0.08323705032106177
TwoLayerCNN,contrast,1,fidelity,4011,-0.0034628465952531995
TwoLayerCNN,contrast,1,fidelity,4012,-0.008303619796209749
TwoLayerCNN,contrast,1,fidelity,4013,-0.008644210980484512
TwoLayerCNN,contrast,1,fidelity,4014,-0.0054166314953207895
TwoLayerCNN,contrast,1,fidelity,4015,-0.0015258270209947966
TwoLayerCNN,contrast,1,fidelity,4016,0.0007311666222328261
TwoLayerCNN,contrast,1,fidelity,4017,-0.0009768651343798895
TwoLayerCNN,contrast,1,fidelity,4018,-0.0061961545828460585
TwoLayerCNN,contrast,1,fidelity,4019,-0.013425457269255925
TwoLayerCNN,contrast,2,fidelity,4000,-0.042141551008160194
TwoLayerCNN,contrast,2,fidelity,4001,-0.016082829215158467
TwoLayerCNN,contrast,2,fidelity,4002,-0.03509617110185037
TwoLayerCNN,contrast,2,fidelity,4003,-0.043564742719154226
TwoLayerCNN,contrast,2,fidelity,4004,-0.04967508027963663
TwoLayerCNN,contrast,2,fidelity,4005,-0.022528366610580997
TwoLayerCNN,contrast,2,fidelity,4006,-0.04074320572581236
TwoLayerCNN,contrast,2,fidelity,4007,-0.04707359930921151
TwoLayerCNN,contrast,2,fidelity,4008,-0.019348429664170608
TwoLayerCNN,contrast,2,fidelity,4009,-0.02929748619255279
TwoLayerCNN,contrast,2,fidelity,4010,-0.12437116611767629
TwoLayerCNN,contrast,2,fidelity,4011,-0.03857509559603112
TwoLayerCNN,contrast,2,fidelity,4012,-0.05282565683823781
TwoLayerCNN,contrast,2,fidelity,4013,-0.03524259444909417
TwoLayerCNN,contrast,2,fidelity,4014,-0.012568464908381816
TwoLayerCNN,contrast,2,fidelity,4015,-0.03488509414247698
TwoLayerCNN,contrast,2,fidelity,4016,-0.00048223085479692784
TwoLayerCNN,contrast,2,fidelity,4017,-0.04645090453435563
TwoLayerCNN,contrast,2,fidelity,4018,-0.04226597234383389
TwoLayerCNN,contrast,2,fidelity,4019,-0.02326006065648123
TwoLayerCNN,contrast,4,fidelity,4000,-0.15008584228280752
TwoLayerCNN,contrast,4,fidelity,4001,-0.029850309227077654
TwoLayerCNN,contrast,4,fidelity,4002,-0.2562467950709856
TwoLayerCNN,contrast,4,fidelity,4003,-0.11337910235449289
TwoLayerCNN,contrast,4,fidelity,4004,-0.14378080340900878
TwoLayerCNN,contrast,4,fidelity,4005,-0.08764994364394296
TwoLayerCNN,contrast,4,fidelity,4006,-0.04334461049513605
TwoLayerCNN,contrast,4,fidelity,4007,-0.13041009175436302
TwoLayerCNN,contrast,4,fidelity,4008,-0.2478916474563223
TwoLayerCNN,contrast,4,fidelity,4009,-0.11652952675980832
TwoLayerCNN,contrast,4,fidelity,4010,-0.12184326485119668
TwoLayerCNN,contrast,4,fidelity,4011,-0.21399593306593057
TwoLayerCNN,contrast,4,fidelity,4012,-0.09825785996827463
TwoLayerCNN,contrast,4,fidelity,4013,-0.06447438482876655
TwoLayerCNN,contrast,4,fidelity,4014,-0.0658057461299365
TwoLayerCNN,contrast,4,fidelity,4015,-0.07948801906261926
TwoLayerCNN,contrast,4,fidelity,4016,-0.08730150829181593
TwoLayerCNN,contrast,4,fidelity,4017,-0.22129210909747044
TwoLayerCNN,contrast,4,fidelity,4018,-0.25437133910474896
TwoLayerCNN,contrast,4,fidelity,4019,-0.09955395968048908
TwoLayerCNN,contrast,8,fidelity,4000,-0.11079323759917636
TwoLayerCNN,contrast,8,fidelity,4001,0.007531861005793505
TwoLayerCNN,contrast,8,fidelity,4002,0.09522061910435331
TwoLayerCNN,contrast,8,fidelity,4003,0.03999226047938731
TwoLayerCNN,contrast,8,fidelity,4004,-0.02319527744259864
TwoLayerCNN,contrast,8,fidelity,4005,-0.013966291721571378
TwoLayerCNN,contrast,8,fidelity,4006,-0.04820759230983085
TwoLayerCNN,contrast,8,fidelity,4007,0.08456237526316934
TwoLayerCNN,contrast,8,fidelity,4008,-0.12590875766989007
TwoLayerCNN,contrast,8,fidelity,4009,0.03163997926101181
TwoLayerCNN,contrast,8,fidelity,4010,-0.15442447954134597
TwoLayerCNN,contrast,8,fidelity,4011,-0.09094342009722656
TwoLayerCNN,contrast,8,fidelity,4012,0.15479121879318947
TwoLayerCNN,contrast,8,fidelity,4013,0.09175084230428876
TwoLayerCNN,contrast,8,fidelity,4014,0.06869023237352812
TwoLayerCNN,contrast,8,fidelity,4015,-0.09769927188132677
TwoLayerCNN,contrast,8,fidelity,4016,-0.20407343766446473
TwoLayerCNN,contrast,8,fidelity,4017,0.10030238119814217
TwoLayerCNN,contrast,8,fidelity,4018,0.1042710972454598
TwoLayerCNN,contrast,8,fidelity,4019,0.05013821429099785
TwoLayerCNN,auroc,1,fidelity,4000,-0.010893374260314337
TwoLayerCNN,auroc,1,fidelity,4001,-0.0044279630326099495
TwoLayerCNN,auroc,1,fidelity,4002,-0.010041749523605814
TwoLayerCNN,auroc,1,fidelity,4003,-0.024420119484200864
TwoLayerCNN,auroc,1,fidelity,4004,-0.0065022727448319495
TwoLayerCNN,auroc,1,fidelity,4005,-0.0071282581129493705
TwoLayerCNN,auroc,1,fidelity,4006,-0.0014458588848804688
TwoLayerCNN,auroc,1,fidelity,4007,-0.010599975285564
TwoLayerCNN,auroc,1,fidelity,4008,-0.0031236720932490414
TwoLayerCNN,auroc,1,fidelity,4009,-0.010225093570443877
TwoLayerCNN,auroc,1,fidelity,4010,-0.08323705032106177
TwoLayerCNN,auroc,1,fidelity,4011,-0.02223437363214298
TwoLayerCNN,auroc,1,fidelity,4012,-0.008303619796209749
TwoLayerCNN,auroc,1,fidelity,4013,-0.016148388180687978
TwoLayerCNN,auroc,1,fidelity,4014,-0.0054166314953207895
TwoLayerCNN,auroc,1,fidelity,4015,-0.00784746088926136
TwoLayerCNN,auroc,1,fidelity,4016,-0.027405471254620672
TwoLayerCNN,auroc,1,fidelity,4017,-0.0009768651343798895
TwoLayerCNN,auroc,1,fidelity,4018,-0.008287592804364419
TwoLayerCNN,auroc,1,fidelity,4019,-0.013425457269255925
TwoLayerCNN,auroc,2,fidelity,4000,-0.028390963667256908
TwoLayerCNN,auroc,2,fidelity,4001,-0.037936855013388726
TwoLayerCNN,auroc,2,fidelity,4002,-0.03509617110185037
TwoLayerCNN,auroc,2,fidelity,4003,-0.043564742719154226
TwoLayerCNN,auroc,2,fidelity,4004,-0.04967508027963663
TwoLayerCNN,auroc,2,fidelity,4005,-0.03368656283398097
TwoLayerCNN,auroc,2,fidelity,4006,-0.011603975134695466
TwoLayerCNN,auroc,2,fidelity,4007,-0.04707359930921151
TwoLayerCNN,auroc,2,fidelity,4008,-0.019348429664170608
TwoLayerCNN,auroc,2,fidelity,4009,-0.02929748619255279
TwoLayerCNN,auroc,2,fidelity,4010,-0.1253102600929641
TwoLayerCNN,auroc,2,fidelity,4011,-0.10564125018708592
TwoLayerCNN,auroc,2,fidelity,4012,-0.05282565683823781
TwoLayerCNN,auroc,2,fidelity,4013,-0.03524259444909417
TwoLayerCNN,auroc,2,fidelity,4014,-0.024338491815738106
TwoLayerCNN,auroc,2,fidelity,4015,-0.05304890765867076
TwoLayerCNN,auroc,2,fidelity,4016,-0.03576614162216307
TwoLayerCNN,auroc,2,fidelity,4017,-0.04659223319970196
TwoLayerCNN,auroc,2,fidelity,4018,-0.0382918934305565
TwoLayerCNN,auroc,2,fidelity,4019,-0.02326006065648123
TwoLayerCNN,auroc,4,fidelity,4000,-0.08191776719054344
TwoLayerCNN,auroc,4,fidelity,4001,-0.15209260490007281
TwoLayerCNN,auroc,4,fidelity,4002,-0.1700720708097313
TwoLayerCNN,auroc,4,fidelity,4003,-0.13842470382813987
TwoLayerCNN,auroc,4,fidelity,4004,-0.14378080340900878
TwoLayerCNN,auroc,4,fidelity,4005,-0.06776723830325415
TwoLayerCNN,auroc,4,fidelity,4006,-0.045453343163870064
TwoLayerCNN,auroc,4,fidelity,4007,-0.12022590394289312
TwoLayerCNN,auroc,4,fidelity,4008,-0.273857983343316
TwoLayerCNN,auroc,4,fidelity,4009,-0.1119480839415532
TwoLayerCNN,auroc,4,fidelity,4010,-0.1782295641956485
TwoLayerCNN,auroc,4,fidelity,4011,-0.21399593306593057
TwoLayerCNN,auroc,4,fidelity,4012,-0.11088932645099914
TwoLayerCNN,auroc,4,fidelity,4013,-0.07840466642558397
TwoLayerCNN,auroc,4,fidelity,4014,-0.0658057461299365
TwoLayerCNN,auroc,4,fidelity,4015,-0.07948801906261926
TwoLayerCNN,auroc,4,fidelity,4016,-0.0791092583124543
TwoLayerCNN,auroc,4,fidelity,4017,-0.18238924739039597
TwoLayerCNN,auroc,4,fidelity,4018,-0.24528408192506224
TwoLayerCNN,auroc,4,fidelity,4019,-0.09955395968048908
TwoLayerCNN,auroc,8,fidelity,4000,-0.11836045687130159
TwoLayerCNN,auroc,8,fidelity,4001,0.1660793521230468
TwoLayerCNN,auroc,8,fidelity,4002,0.11448054551148557
TwoLayerCNN,auroc,8,fidelity,4003,0.10995786751837211
TwoLayerCNN,auroc,8,fidelity,4004,0.07028346229879678
TwoLayerCNN,auroc,8,fidelity,4005,-0.003034657580061495
TwoLayerCNN,auroc,8,fidelity,4006,-0.05989289441161205
TwoLayerCNN,auroc,8,fidelity,4007,0.08456237526316934
TwoLayerCNN,auroc,8,fidelity,4008,-0.12590875766989007
TwoLayerCNN,auroc,8,fidelity,4009,0.005612626843082946
TwoLayerCNN,auroc,8,fidelity,4010,-0.15826915273843312
TwoLayerCNN,auroc,8,fidelity,4011,-0.1475507760534719
TwoLayerCNN,auroc,8,fidelity,4012,0.15455004395746164
TwoLayerCNN,auroc,8,fidelity,4013,0.09175084230428876
TwoLayerCNN,auroc,8,fidelity,4014,0.06869023237352812
TwoLayerCNN,auroc,8,fidelity,4015,-0.09769927188132677
TwoLayerCNN,auroc,8,fidelity,4016,-0.10750657417564546
TwoLayerCNN,auroc,8,fidelity,4017,0.09672102074750921
TwoLayerCNN,auroc,8,fidelity,4018,0.10278725939744449
TwoLayerCNN,auroc,8,fidelity,4019,-0.038425696774649465
TwoLayerCNN,validation_patch,1,fidelity,4000,-0.019963171629729604
TwoLayerCNN,validation_patch,1,fidelity,4001,-0.053009139848106956
TwoLayerCNN,validation_patch,1,fidelity,4002,-0.042682424976471345
TwoLayerCNN,validation_patch,1,fidelity,4003,-0.016004821070117803
TwoLayerCNN,validation_patch,1,fidelity,4004,-0.02864108945828625
TwoLayerCNN,validation_patch,1,fidelity,4005,-0.011676805374495114
TwoLayerCNN,validation_patch,1,fidelity,4006,-0.038228245349992696
TwoLayerCNN,validation_patch,1,fidelity,4007,-0.02237527721398236
TwoLayerCNN,validation_patch,1,fidelity,4008,-0.0633361820751952
TwoLayerCNN,validation_patch,1,fidelity,4009,0.05381771370646149
TwoLayerCNN,validation_patch,1,fidelity,4010,-0.08326802605989991
TwoLayerCNN,validation_patch,1,fidelity,4011,-0.02001054383804768
TwoLayerCNN,validation_patch,1,fidelity,4012,-0.006718063981935307
TwoLayerCNN,validation_patch,1,fidelity,4013,-0.03619928263336214
TwoLayerCNN,validation_patch,1,fidelity,4014,-0.021010469434253776
TwoLayerCNN,validation_patch,1,fidelity,4015,-0.020686130652212698
TwoLayerCNN,validation_patch,1,fidelity,4016,-0.029736050789136104
TwoLayerCNN,validation_patch,1,fidelity,4017,-0.01400187613681747
TwoLayerCNN,validation_patch,1,fidelity,4018,-0.015625033798764454
TwoLayerCNN,validation_patch,1,fidelity,4019,-0.02196469264495715
TwoLayerCNN,validation_patch,2,fidelity,4000,-0.032996330030150345
TwoLayerCNN,validation_patch,2,fidelity,4001,-0.15875568233254844
TwoLayerCNN,validation_patch,2,fidelity,4002,-0.10211656361690846
TwoLayerCNN,validation_patch,2,fidelity,4003,-0.01649831383032374
TwoLayerCNN,validation_patch,2,fidelity,4004,-0.1092336974212419
TwoLayerCNN,validation_patch,2,fidelity,4005,-0.031274114651570706
