task,architecture,block,condition,epoch,nearest_cosine,assignment_cosine,matching_gap,nearest_template_count,nearest_distance,assignment_distance,redundancy_cosine,mean_raw_norm,initial_index_cosine,raw_initial_drift,id_acc,semantic_auc,localization_iou,causal_usefulness,cf_accuracy,fidelity_selected,fidelity_random
two_concepts,TinyCNN,2004,random_unitnorm,20,0.1675741393671657,0.15063489856189602,0.01693924080526968,10,1.287098016993933,1.3001158550895289,0.292585608212099,1.5592068,0.7357742899103004,1.0965047,0.94140625,0.98529052734375,0.16111344692731322,0.5255301248300972,0.69921875,0.8312211889734191,0.3056910641433219
two_concepts,TinyCNN,2004,random_unitnorm,40,0.19018548784153286,0.16488756868538057,0.025297919156152288,9,1.269681150416341,1.2885069659037445,0.3260190597471527,2.181622,0.5949322454835784,1.8098812,0.9765625,0.989501953125,0.17042925066940728,0.56304906097089,0.685546875,0.8098855099040363,0.2468364489331462
two_concepts,TinyCNN,2004,random_unitnorm,80,0.20441112652981908,0.1711422158476974,0.03326891068212168,8,1.258969857207943,1.2839500508049406,0.33838672362864575,2.7300162,0.5271856854736556,2.3900127,0.9765625,0.99420166015625,0.17517555833979093,0.5757016848686893,0.6484375,0.7738212930671939,0.19811960819850455
two_concepts,TinyCNN,2004,random_unitnorm,120,0.20903508794160724,0.1722160868688346,0.03681900107277264,8,1.2554733592481302,1.2832821912146402,0.34291739283421063,3.024179,0.5022671362992781,2.69457,0.9765625,0.99383544921875,0.18010378853106931,0.5759323632062986,0.62890625,0.7530747730758847,0.17714240986958604
two_concepts,TinyCNN,2004,random_unitnorm,160,0.2114666854945279,0.17289883113642562,0.03856785435810228,7,1.253593858876834,1.282787551421813,0.3452977117893723,3.222991,0.4879798840950681,2.89914,0.9765625,0.994140625,0.1837781388684387,0.6001620007153194,0.662109375,0.765605912183031,0.16544391146771156
two_concepts,TinyCNN,2004,random_unitnorm,200,0.21266807739960847,0.17335775125824351,0.039310326141364954,7,1.252657836935059,1.2819259343773162,0.3471596043104231,3.3717723,0.47822579468452,3.051777,0.98046875,0.9942626953125,0.18482178108631092,0.600636040798348,0.662109375,0.7577679370123744,0.1571318962140264
two_concepts,TinyCNN,2004,template_init,0,1.0,1.0,0.0,16,1.3170890159654386e-09,1.3170890159654386e-09,0.8481368160118523,1.0,1.0,0.0,,,,,,,
two_concepts,TinyCNN,2004,template_init,1,0.9985665593229969,0.9985665593229969,0.0,16,0.04699466037938656,0.04699466037938656,0.8463115661962866,1.006434,0.9985665593229969,0.09534358,0.39453125,0.80377197265625,0.43003376743367505,0.6268090830601963,0.4296875,0.6131956143088529,-0.013613468751343352
two_concepts,TinyCNN,2004,template_init,5,0.9770987761844088,0.9770987761844088,0.0,16,0.2016513239648604,0.2016513239648604,0.8213401869487953,1.050803,0.9770987761844088,0.30545115,0.46875,0.7991485595703125,0.3866793719197592,0.6468413117762892,0.462890625,0.9385194640870984,0.29167815231080924
two_concepts,TinyCNN,2004,template_init,10,0.933345041510429,0.933345041510429,0.0,16,0.35554102019703876,0.35554102019703876,0.7640224689814661,1.120367,0.933345041510429,0.46273282,0.625,0.858978271484375,0.34171300295417156,0.6089395192211067,0.58984375,0.9151522188417578,0.30621269962065106
