task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2007,random_unitnorm,10,9,7,6,0.2477313416748394,0.18694865508646877
single_shape,TinyCNN,2007,random_unitnorm,10,10,7,7,0.15635048742859053,0.15635048742859053
single_shape,TinyCNN,2007,random_unitnorm,10,11,3,3,0.3648635210285681,0.3648635210285681
single_shape,TinyCNN,2007,random_unitnorm,10,12,13,13,0.3301659201545217,0.3301659201545217
single_shape,TinyCNN,2007,random_unitnorm,10,13,15,9,0.15049838523084247,-0.029500599147252945
single_shape,TinyCNN,2007,random_unitnorm,10,14,11,8,0.300302827750474,0.2524669285447526
single_shape,TinyCNN,2007,random_unitnorm,10,15,14,10,0.21479862337756575,0.10083170262139657
single_shape,TinyCNN,2007,random_unitnorm,20,0,15,14,0.36092510671117223,0.3587764579043642
single_shape,TinyCNN,2007,random_unitnorm,20,1,15,15,0.2537181750131124,0.2537181750131124
single_shape,TinyCNN,2007,random_unitnorm,20,2,8,12,0.1495064576163195,0.1258969072116459
single_shape,TinyCNN,2007,random_unitnorm,20,3,5,4,0.23639363209631287,0.21788771722016745
single_shape,TinyCNN,2007,random_unitnorm,20,4,7,5,0.31282764953397724,0.20459866731147225
single_shape,TinyCNN,2007,random_unitnorm,20,5,0,1,0.09499137226568319,0.04672931754023558
single_shape,TinyCNN,2007,random_unitnorm,20,6,15,0,0.18302097859577446,0.04413450442580372
single_shape,TinyCNN,2007,random_unitnorm,20,7,15,10,0.24351931856413384,0.052301800469311745
single_shape,TinyCNN,2007,random_unitnorm,20,8,1,2,0.33325816601004044,0.32435662190129566
single_shape,TinyCNN,2007,random_unitnorm,20,9,7,6,0.3004172781994697,0.2252370062855537
single_shape,TinyCNN,2007,random_unitnorm,20,10,7,7,0.15855257590370506,0.15855257590370506
single_shape,TinyCNN,2007,random_unitnorm,20,11,3,3,0.3753320494382905,0.3753320494382905
single_shape,TinyCNN,2007,random_unitnorm,20,12,13,8,0.33743976594757924,0.30637241669571574
